Job Title_preprocessed,title_map_1,title_map_2
datascientist,Data Scientist,
datascienceassociate,Data Science Associate,
datascienceconsultant,Data Science Consultant,
datascience,Data Scientist,
seniordatascientist,Senior Data Scientist,
juniordatascientist,Junior Data Scientist,
leaddatascientist,Lead Data Scientist,
datasciencemanager,Data Science Manager,
datascientisttrainee,Data Science Trainee,
datasciencelead,Lead Data Scientist,
dataanalyst,Data Analyst,
dataengineer,Data Engineer,
machinelearningengineer,ML Engineer,
machinelearningsoftwareengineer,ML Engineer,
softwareengineermachinelearning,ML Engineer,
machinelearningengineerdatascientist,ML Scientist,
machinelearningconsultant,ML Consultant,
machinelearningdataassociate,Data Science Associate,ML Associate
machinelearningdataassociatei,Data Science Associate,ML Associate
machinelearningassociate,ML Associate,Data Science Associate
machinelearningdataassociateii,ML Associate,Data Science Associate
associatemachinelearningengineer,ML Associate,Data Science Associate
machinelearningdataanalyst,Data Analyst,ML Engineer
seniormachinelearningengineer,Senior ML Engineer,ML Engineer
machinelearningscientist,Data Scientist,ML Scientist
machinelearningdeveloper,ML Engineer,ML Scientist
